기준_날짜,행정동_ID,승객_수
2023-07-10,1113068,22685.0
2023-05-09,1117068,28111.0
2023-11-04,1109065,17365.0
2023-01-08,1109070,14955.0
2023-07-01,1107071,22657.0
2023-01-25,1123067,26928.0
2023-06-26,1101060,2245.0
2023-05-05,1122062,9259.0
2023-09-26,1123053,66811.0
2023-10-26,1101055,12437.0
2023-04-27,1125056,5349.0
2023-10-05,1116057,5191.0
2023-11-10,1112056,19278.0
2023-03-16,1113062,45087.0
2023-01-03,1119075,5180.0
2023-03-03,1109061,9956.0
2023-03-08,1113066,7648.0
2023-09-24,1114066,158647.0
2023-08-26,1108066,29179.0
2023-04-23,1117056,14347.0
2023-09-06,1122055,16095.0
2023-01-04,1123052,76457.0
2023-02-25,1125067,3848.0
2023-03-11,1121071,4426.0
2023-05-04,1103051,6151.0
2023-08-07,1101072,7085.0
2023-11-04,1108072,18386.0
2023-05-15,1123074,15290.0
2023-11-08,1112068,11086.0
2023-02-09,1102055,99227.0
2023-10-05,1114078,33462.0
2023-09-07,1105066,7160.0
2023-10-11,1121079,10767.0
2023-06-11,1107071,16408.0
2023-12-12,1103073,99730.0
2023-07-09,1118059,1918.0
2023-05-07,1120053,30692.0
2023-04-04,1108081,16065.0
2023-11-12,1117067,7887.0
2023-10-14,1116072,6059.0
2023-04-16,1116055,4904.0
2023-10-14,1121079,7273.0
2023-05-06,1120068,26433.0
2023-12-27,1124071,19483.0
2023-06-16,1110064,11397.0
2023-01-15,1124067,9749.0
2023-11-11,11170740,
2023-03-15,1101055,14008.0
2023-03-01,1104067,4127.0
2023-05-23,1107062,28580.0
2023-05-15,1125052,28974.0
2023-12-09,1101058,7474.0
2023-10-07,1106073,9503.0
2023-04-26,1107061,
2023-10-07,1121063,71257.0
2023-11-24,1122055,15994.0
2023-10-03,1107064,4211.0
2023-09-27,1115060,6783.0
2023-08-27,1122060,88699.0
2023-08-09,1119065,6804.0
2023-02-07,1103058,13304.0
2023-04-30,1125074,11634.0
2023-11-10,1124060,24207.0
2023-04-21,1110055,17968.0
2023-03-31,1108085,36282.0
2023-07-05,1101071,22990.0
2023-08-16,1106086,11817.0
2023-03-10,1120068,50851.0
2023-05-13,1104065,14732.0
2023-12-01,1101069,5710.0
2023-12-22,1104070,48647.0
2023-06-06,1122051,21787.0
2023-05-06,1120065,3862.0
2023-10-21,1105067,15965.0
2023-11-28,1114071,7035.0
2023-02-23,1116058,4587.0
2023-08-06,1116071,28098.0
2023-12-20,1112071,49235.0
2023-06-01,1103059,3297.0
2023-10-19,1107073,21487.0
2023-07-06,1116054,38615.0
2023-10-29,1123060,10175.0
2023-06-30,1101056,9472.0
2023-03-06,1103073,90767.0
2023-03-07,1113066,7730.0
2023-06-24,1123065,12092.0
2023-08-14,1107057,5974.0
2023-10-14,1103053,31974.0
2023-01-07,1104055,14025.0
2023-12-24,1112071,31668.0
2023-01-22,1122061,1866.0
2023-08-05,1116063,6659.0
2023-04-11,1117069,31462.0
2023-01-22,1115062,1802.0
2023-04-08,1103072,6565.0
2023-06-13,1120053,66504.0
2023-02-24,1103051,5943.0
2023-12-10,1108066,21586.0
2023-05-27,1113064,6952.0
2023-06-14,1110052,9894.0
2023-04-22,1107055,3749.0
2023-05-28,1122062,8660.0
2023-03-03,1114076,28207.0
